mg_L_TN,Area
0,0.5348
0,0.7982
0,0.3291
0.1,3.057
0.1,3.239
0.1,3.296
0.25,6.711
0.25,6.799
0.5,12.36
0.5,13.28
0.5,12.9
0.75,18.95
0.75,17.97
0.75,18.37
1,24.08
1,24.59
2,50.33
2,50.4
4,101.8
4,101
6,152.8
6,153.7
8,202.5
8,204.9
10,249.1
10,254.8
